[2026-06-17T16:47:21.036Z] GET https://cdn.tailwindcss.com/ → 200 (1ms, -765B)
[2026-06-17T16:47:21.037Z] GET https://unpkg.com/react@18.3.1/umd/react.development.js → 200 (?ms, -837B)
[2026-06-17T16:47:21.038Z] GET https://unpkg.com/react-dom@18.3.1/umd/react-dom.development.js → 200 (?ms, -836B)
[2026-06-17T16:47:21.038Z] GET https://unpkg.com/@babel/standalone@7.29.0/babel.min.js → 200 (?ms, -836B)
[2026-06-17T16:47:21.216Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-06-17T16:47:21.216Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (1ms, -814B)
[2026-06-17T16:47:21.217Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, -814B)
[2026-06-17T16:47:21.223Z] GET http://localhost:8000/uploads/LOGO%202.png → 304 (1ms, ?B)
[2026-06-17T16:47:23.822Z] GET http://localhost:8000/index.html → 200 (3ms, ?B)
[2026-06-17T16:47:23.828Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&family=Space+Grotesk:wght@500;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
[2026-06-17T16:47:23.828Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -765B)
[2026-06-17T16:47:23.829Z] GET https://unpkg.com/react@18.3.1/umd/react.development.js → 200 (?ms, -837B)
[2026-06-17T16:47:23.829Z] GET https://unpkg.com/react-dom@18.3.1/umd/react-dom.development.js → 200 (?ms, -836B)
[2026-06-17T16:47:23.829Z] GET https://unpkg.com/@babel/standalone@7.29.0/babel.min.js → 200 (?ms, -836B)
[2026-06-17T16:47:23.868Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -814B)
[2026-06-17T16:47:23.869Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-06-17T16:47:23.872Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (1ms, -814B)
[2026-06-17T16:47:24.040Z] GET http://localhost:8000/uploads/LOGO%202.png → 200 (?ms, -188B)
[2026-06-17T16:47:24.040Z] GET http://localhost:8000/uploads/imp.svg → 200 (1ms, ?B)
[2026-06-17T16:47:24.040Z] GET http://localhost:8000/uploads/Smobler_logo-03.png → 200 (1ms, ?B)
[2026-06-17T16:47:24.040Z] GET http://localhost:8000/uploads/CareO_Logo.webp → 200 (1ms, ?B)
[2026-06-17T16:47:26.991Z] GET http://localhost:8000/Industries.html → 200 (32ms, 53471B)
[2026-06-17T16:47:27.027Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&family=Space+Grotesk:wght@500;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
[2026-06-17T16:47:27.027Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -765B)
[2026-06-17T16:47:27.027Z] GET https://unpkg.com/react@18.3.1/umd/react.development.js → 200 (?ms, -837B)
[2026-06-17T16:47:27.027Z] GET https://unpkg.com/react-dom@18.3.1/umd/react-dom.development.js → 200 (?ms, -836B)
[2026-06-17T16:47:27.028Z] GET https://unpkg.com/@babel/standalone@7.29.0/babel.min.js → 200 (?ms, -836B)
[2026-06-17T16:47:27.165Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-06-17T16:47:27.166Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-06-17T16:47:27.166Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, -814B)
[2026-06-17T16:47:27.177Z] GET http://localhost:8000/uploads/LOGO%202.png → 200 (?ms, -188B)
[2026-06-17T16:47:30.503Z] GET http://localhost:8000/index.html → 200 (?ms, -187B)
[2026-06-17T16:47:30.507Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&family=Space+Grotesk:wght@500;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
[2026-06-17T16:47:30.507Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -765B)
[2026-06-17T16:47:30.508Z] GET https://unpkg.com/react@18.3.1/umd/react.development.js → 200 (?ms, -837B)
[2026-06-17T16:47:30.508Z] GET https://unpkg.com/react-dom@18.3.1/umd/react-dom.development.js → 200 (?ms, -836B)
[2026-06-17T16:47:30.508Z] GET https://unpkg.com/@babel/standalone@7.29.0/babel.min.js → 200 (?ms, -836B)
[2026-06-17T16:47:30.543Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (1ms, -814B)
[2026-06-17T16:47:30.544Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-06-17T16:47:30.545Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, -814B)
[2026-06-17T16:47:30.700Z] GET http://localhost:8000/uploads/LOGO%202.png → 200 (?ms, -188B)
[2026-06-17T16:47:30.700Z] GET http://localhost:8000/uploads/imp.svg → 200 (?ms, -190B)
[2026-06-17T16:47:30.700Z] GET http://localhost:8000/uploads/Smobler_logo-03.png → 200 (?ms, -187B)
[2026-06-17T16:47:30.700Z] GET http://localhost:8000/uploads/CareO_Logo.webp → 200 (?ms, -187B)
[2026-06-17T16:47:33.424Z] GET http://localhost:8000/About.html → 200 (23ms, 33543B)
[2026-06-17T16:47:33.451Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&family=Space+Grotesk:wght@500;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
[2026-06-17T16:47:33.451Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -765B)
[2026-06-17T16:47:33.451Z] GET https://unpkg.com/react@18.3.1/umd/react.development.js → 200 (?ms, -837B)
[2026-06-17T16:47:33.451Z] GET https://unpkg.com/react-dom@18.3.1/umd/react-dom.development.js → 200 (?ms, -836B)
[2026-06-17T16:47:33.451Z] GET https://unpkg.com/@babel/standalone@7.29.0/babel.min.js → 200 (?ms, -836B)
[2026-06-17T16:47:33.563Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-06-17T16:47:33.563Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-06-17T16:47:33.563Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, -814B)
[2026-06-17T16:47:33.570Z] GET http://localhost:8000/uploads/LOGO%202.png → 200 (?ms, -188B)
[2026-06-17T16:47:37.169Z] GET http://localhost:8000/index.html → 200 (1ms, -187B)
[2026-06-17T16:47:37.174Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600&family=Space+Grotesk:wght@500;600;700;800&family=JetBrains+Mono:wght@400;500&display=swap → 200 (?ms, -743B)
[2026-06-17T16:47:37.175Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -765B)
[2026-06-17T16:47:37.175Z] GET https://unpkg.com/react@18.3.1/umd/react.development.js → 200 (?ms, -837B)
[2026-06-17T16:47:37.175Z] GET https://unpkg.com/react-dom@18.3.1/umd/react-dom.development.js → 200 (?ms, -836B)
[2026-06-17T16:47:37.176Z] GET https://unpkg.com/@babel/standalone@7.29.0/babel.min.js → 200 (?ms, -836B)
[2026-06-17T16:47:37.216Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -814B)
[2026-06-17T16:47:37.217Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -814B)
[2026-06-17T16:47:37.218Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, -814B)
[2026-06-17T16:47:37.386Z] GET http://localhost:8000/uploads/LOGO%202.png → 200 (?ms, -188B)
[2026-06-17T16:47:37.386Z] GET http://localhost:8000/uploads/imp.svg → 200 (1ms, -190B)
